kshkod,town_name,district_name,county,Fragmentation,Fragmentation_scaled,SPB,SPB_norm,ADC,ADC_norm,SCA,SCA_norm
1400,Nyiracsad,Nyíradonyi,Hajdu-Bihar,0.2356652,-1.0204189,0.0,-1.7665223,815.91333,-0.54954499,0.096992418,-0.76601022
1414,Tapioszele,Nagykátai,Pest,0.34328589,0.84646243,0.52519649,0.24597369,1073.9821,-0.23901638,0.05263197,0.021178639
1420,Rakoczifalva,Szolnoki,Jasz-Nagykun-Szolnok,0.25393391,-0.70351416,0.44664079,-0.0022585983,807.93689,-0.57457483,0.11278948,-1.0114136
1425,Apatfalva,Makói,Csongrad,0.20657609,-1.5250236,0.47072569,0.1356384,672.2666,-0.74702209,0.34657359,-5.0552258
1434,Pilisvorosvar,Pilisvörösvári,Pest,0.34979501,0.95937532,0.71204942,0.88032424,1000.303,-0.38320664,0.013118822,0.6687094
1445,Szentes,Szentesi,Csongrad,0.2931031,-0.024051551,0.1623271,-1.1633002,1440.719,0.21075384,0.01573154,0.62765825
1449,Ozd,Ózdi,Borsod-Abauj-Zemplen,0.25252119,-0.72802043,0.75755131,0.96875197,2728.6589,1.8444585,0.048959486,0.12663288
1452,Heves,Hevesi,Heves,0.27697909,-0.30375254,0.6099152,0.53391051,1031.011,-0.32134396,0.029962556,0.39665797
1461,Ebes,Hajdúszoboszlói,Hajdu-Bihar,0.27230579,-0.38481969,0.051186301,-1.564786,594.31671,-0.88293368,0.054560553,-0.03537463
1463,Fonyod,Fonyódi,Somogy,0.2697978,-0.42832533,0.71948087,0.88534135,557.05017,-0.98794603,0.0092830686,0.73032296
1473,Rakamaz,Nyíregyházi,Szabolcs-Szatmar-Bereg,0.27599019,-0.32090688,0.51852351,0.32391712,957.36572,-0.33189356,0.079336435,-0.47920945
1482,Szekesfehervar,Székesfehérvári,Fejer,0.3086839,0.2462265,0.8380003,1.156882,3009.4939,2.0792305,0.0021220078,0.84386444
1483,Zagyvarekas,Szolnoki,Jasz-Nagykun-Szolnok,0.21466941,-1.3846301,0.2919873,-0.58040541,1253.598,0.11580332,0.032508299,0.3160086
1484,Nyirbator,Nyírbátori,Szabolcs-Szatmar-Bereg,0.34125051,0.81115496,0.69848633,0.89293236,1018.513,-0.32524768,0.010928494,0.69901156
1502,Paty,Budakeszi,Pest,0.32165039,0.47115433,0.47806561,0.011098622,951.29248,-0.4489764,0.033740118,0.34394816
1513,Debrecen,Debreceni,Hajdu-Bihar,0.3396439,0.78328526,0.94882709,1.3959513,5020.4819,4.343472,0.0014906824,0.85417241
