metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT004M,2008,1738.9,44600.0,,,Salzburg,ICCS05012,475,Burglary of private residential premises
AT004M,2009,1738.9,43300.0,,,Salzburg,ICCS0101,4,Intentional homicide
AT004M,2009,1738.9,43300.0,,,Salzburg,ICCS0401,118,Robbery
AT004M,2009,1738.9,43300.0,,,Salzburg,ICCS05012,553,Burglary of private residential premises
AT004M,2010,1738.9,45600.0,,,Salzburg,ICCS0101,5,Intentional homicide
AT004M,2010,1738.9,45600.0,,,Salzburg,ICCS0401,109,Robbery
AT004M,2010,1738.9,45600.0,,,Salzburg,ICCS05012,347,Burglary of private residential premises
AT004M,2011,1738.9,47700.0,,,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2011,1738.9,47700.0,,,Salzburg,ICCS0401,121,Robbery
AT004M,2011,1738.9,47700.0,,,Salzburg,ICCS05012,445,Burglary of private residential premises
AT004M,2012,1739.0,49600.0,,,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2012,1739.0,49600.0,,,Salzburg,ICCS0401,92,Robbery
AT004M,2012,1739.0,49600.0,,,Salzburg,ICCS05012,382,Burglary of private residential premises
AT004M,2013,1738.0,49000.0,,,Salzburg,ICCS0101,4,Intentional homicide
AT004M,2013,1738.0,49000.0,,,Salzburg,ICCS0401,94,Robbery
AT004M,2013,1738.0,49000.0,,,Salzburg,ICCS05012,349,Burglary of private residential premises
AT004M,2013,1738.0,49000.0,,,Salzburg,ICCS050211,51,Theft of a motorized land vehicle
AT004M,2014,1738.0,49700.0,350242.0,,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2014,1738.0,49700.0,350242.0,,Salzburg,ICCS0401,110,Robbery
AT004M,2014,1738.0,49700.0,350242.0,,Salzburg,ICCS05012,377,Burglary of private residential premises
AT004M,2014,1738.0,49700.0,350242.0,,Salzburg,ICCS050211,67,Theft of a motorized land vehicle
AT004M,2015,1738.0,51600.0,353727.0,,Salzburg,ICCS0101,3,Intentional homicide
AT004M,2015,1738.0,51600.0,353727.0,,Salzburg,ICCS0401,116,Robbery
AT004M,2015,1738.0,51600.0,353727.0,,Salzburg,ICCS05012,547,Burglary of private residential premises
AT004M,2015,1738.0,51600.0,353727.0,,Salzburg,ICCS050211,105,Theft of a motorized land vehicle
AT004M,2016,1738.0,53000.0,359244.0,,Salzburg,ICCS0101,2,Intentional homicide
AT004M,2016,1738.0,53000.0,359244.0,,Salzburg,ICCS0401,153,Robbery
AT004M,2016,1738.0,53000.0,359244.0,,Salzburg,ICCS05012,634,Burglary of private residential premises
AT004M,2016,1738.0,53000.0,359244.0,,Salzburg,ICCS050211,120,Theft of a motorized land vehicle
AT004M,2017,1738.0,54200.0,362042.0,5.8,Salzburg,ICCS0101,5,Intentional homicide
AT004M,2017,1738.0,54200.0,362042.0,5.8,Salzburg,ICCS0401,106,Robbery
AT004M,2017,1738.0,54200.0,362042.0,5.8,Salzburg,ICCS05012,547,Burglary of private residential premises
