DATAFLOW,LAST UPDATE,freq,unit,landuse,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2008,2079.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2009,2079.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2010,2079.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2011,2079.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2012,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2013,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2014,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2015,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2016,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2017,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2018,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2019,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2020,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2021,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT005M:Innsbruck,2022,2079,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1991,62534.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1992,62533.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1993,62530.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1994,62525.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1995,62527.1,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1996,62524.7,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1997,62520.8,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,1998,62513.5,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2000,62500.8,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2002,62515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2003,62515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2005,62507.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2006,62507.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2007,62507.9,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2008,62499.2,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT_NM:Non-metropolitan regions in Austria,2009,62496.2,
